Team,First_Name,Last_Name,Position,Height,Weight
Grambling,Devante,Jackson,F,81,200
Grambling,Ivy,Smith,G,72,165
Grambling,Prince,Moss,G,79,180
Grambling,Kelton,Edwards,G,78,195
Grambling,Travon,Bunch,C,85,230
Grambling,Anthony,Gaston,H,76,205
Grambling,Cam,Christon,H,78,190
Grambling,Trevell,Cunningham,H,72,180
Grambling,Terreon,Randolph,F,80,220
Grambling,Tra'michael,Moton,G,73,170
Grambling,Zahad,Munford,G,75,170
Grambling,Josh,Mullins,G,76,180
Grambling,Dearius,Henyard,G,75,180
Grambling,Jay,Head,F,79,230
Grambling,David,Loville,G,75,180
Montana_State,Harald,Frey,G,74,180
Montana_State,Jubrile,Belo,F,81,240
Montana_State,Amin,Adamu,G,77,190
Montana_State,Mychael,Paulo,G,76,160
Montana_State,Ladan,Ricketts,F,77,185
Montana_State,Borja,Fernandez,F,79,230
Montana_State,Devin,Kirby,C,83,225
Montana_State,Zeke,Quinlan,F,79,220
Montana_State,Finn,Fleute,F,82,235
Montana_State,Caleb,Bellach,G,78,195
Montana_State,Zach,Hobbs,G,77,195
Montana_State,Quentin,Guliford,F,78,200
Howard,Charles,Williams,G,78,108
Howard,Wayne,Bristol,G,78,185
Howard,Nate,Garvey,G,75,180
Howard,Zion,Cousins,F,80,195
Howard,Kyle,Foster,G,77,172
Howard,Khalil,Robinson,G,72,160
Howard,Raymond,Bethea,G,78,195
Howard,Ian,Lee,G,73,175
Howard,Andre,Toure,F,80,210
Howard,Phillip,Jones,G,72,185
Howard,Michael,Barber,F,81,225
Howard,Liwayne,Richardson,C,82,250
Howard,Garon,Jones,C,74,170
Howard,Princewill,Anosike,C,81,230
Texas_San_Antonio,Jhivvan,Jackson,G,72,170
Texas_San_Antonio,Keaton,Wallace,G,75,195
Texas_San_Antonio,Luka,Barisic,F,82,235
Texas_San_Antonio,Jacob,Germany,C,83,225
Texas_San_Antonio,Knox,Hellums,G,77,205
Texas_San_Antonio,Erik,Czumbel,G,75,200
Texas_San_Antonio,Atem,Bior,F,79,225
Texas_San_Antonio,Byron,Frohnen,F,78,230
Texas_San_Antonio,Adrian,Rodriguez,F,79,245
Texas_San_Antonio,Makani,Whiteside,G,76,190
Texas_San_Antonio,Adokiye,Iyaye,G,75,180
Texas_San_Antonio,Phoenix,Ford,F,80,225
Texas_San_Antonio,Austin,Timperman,F,81,190
Cincinnati,Jarron,Cumberland,G,77,210
Cincinnati,Keith,Williams,G,77,215
Cincinnati,Trevell,Scott,F,80,225
Cincinnati,Chris,Vogt,C,85,260
Cincinnati,Jaevin,Cumberland,G,75,185
Cincinnati,Mika,Adams-Woods,G,75,185
Cincinnati,Mamoudou,Diarra,F,81,225
Cincinnati,Chris,McNeal,G,73,190
Cincinnati,Jaume,Sorolla,C,84,260
Cincinnati,Zach,Harvey,G,77,195
Cincinnati,Jeremiah,Davenport,G,79,205
Cincinnati,Trevor,Moore,G,77,195
Cincinnati,Rob,Banks,F,77,210
Cincinnati,John,Koz,G,73,200
Cincinnati,Sam,Martin,G,70,170
Cincinnati,Prince,Gillam-Toyambi,F,79,225
Toledo,Marreon,Jackson,G,73,200
Toledo,Luke,Knapke,C,83,245
Toledo,Willie,Jackson,F,78,215
Toledo,Spencer,Littleson,G,76,200
Toledo,Keshaun,Saunders,G,77,190
Toledo,Dylan,Alderson,G,77,205
Toledo,Luke,Maranka,F,82,225
Toledo,TJ,Smith,F,80,195
Toledo,Gavin,Bizeau,F,83,210
Toledo,Donavan,Moore,G,75,180
Toledo,Blake,Williams,G,72,195
LaSalle,David,Beatty,G,74,200
LaSalle,Isiah,Deas,G,78,200
LaSalle,Ed,Croswell,F,80,245
LaSalle,Scott,Spencer,G,78,205
LaSalle,Saul,Phiri,G,76,215
LaSalle,Sherif,Kenney,G,76,230
LaSalle,Ayinde,Hikim,G,71,165
LaSalle,Christian,Ray,G,78,205
LaSalle,Jared,Kimbrough,F,80,220
LaSalle,Brandon,Stone,F,83,200
LaSalle,Moustapha,Diagne,F,81,230
LaSalle,Andrew,Lafond,G,70,150
Missouri_Kansas_City,Jordan,Giles,F,79,225
Missouri_Kansas_City,Brandon,McKissic,G,75,195
Missouri_Kansas_City,Rob,Whitfield,G,75,175
Missouri_Kansas_City,Javan,Whiteside,F,82,230
Missouri_Kansas_City,Jashire,Hardnett,G,71,193
Missouri_Kansas_City,Marvin,Nesbitt,G,76,180
Missouri_Kansas_City,Josiah,Allick,F,80,225
Missouri_Kansas_City,Franck,Kamgain,G,74,195
Missouri_Kansas_City,Zion,Williams,G,76,193
Missouri_Kansas_City,Maks,Klanjscek,G,77,200
Missouri_Kansas_City,Brandon,Suggs,F,80,220
Missouri_Kansas_City,Steve,Dulley,G,75,200
William_Mary,Nathan,Knight,F,82,253
William_Mary,Andy,Van_Vliet,F,84,231
William_Mary,Luke,Loewe,G,76,186
William_Mary,Bryce,Barnes,G,71,189
William_Mary,Quinn,Blair,G,79,225
William_Mary,Thornton,Scott,G,77,185
William_Mary,Miguel,Ayesa,G,77,201
William_Mary,Tyler,Hamilton,G,76,210
William_Mary,Rainers,Hermanovskis,G,76,201
William_Mary,Jihar,Williams,G,77,201
William_Mary,Mehkel,Harvey,F,81,225
William_Mary,Thatcher,Stone,G,78,200
William_Mary,Austin,Washburn,G,76,175
William_Mary,Miodrag,Dronjak,G,75,196
Missouri,Dru,Smith,G,75,203
Missouri,Xavier,Pinson,G,74,170
Missouri,Mark,Smith,G,77,220
Missouri,Javon,Pickett,G,77,220
Missouri,Kobe,Brown,F,79,240
Missouri,Mitchell,Smith,F,82,221
Missouri,Reed,Nikko,F,82,240
Missouri,Torrence,Watson,G,77,205
Missouri,Jeremiah,Tilmon,F,82,260
Missouri,Tray,Jackson,F,81,205
Missouri,Parker,Braun,F,80,217
Missouri,Mairo,McKinney,G,74,185
Missouri,Evan,Yerker,G,75,187
Missouri,Axel,Okongo,F,84,245
Missouri,Brooks,Ford,G,72,187
Penn,AJ,Brodeur,F,80,240
Penn,Devon,Goodman,G,72,170
Penn,Jordan,Dingle,G,75,200
Penn,Ryan,Betley,G,77,200
Penn,Max,Martz,F,78,210
Penn,Eddie,Scott,G,78,200
Penn,Lucas,Monroe,G,78,200
Penn,Ray,Jerome,G,74,190
Penn,Jarrod,Simmons,F,80,220
Penn,Bryce,Washington,G,76,180
Penn,Max,Lorca-Lloyd,C,81,210
Penn,Griffin,Ryan,G,77,215
Penn,Alex,Imegwu,G,78,205
Penn,Mark,Jackson,C,87,260
