one,two,three,four,five,six,seven,eight,nine,ten
0.4185,0.4446,0.5148,0.5886,0.6426,0.6858,0.7137,0.7614,0.792,0.9
0.4185,0.4446,0.5148,0.5886,0.6426,0.6858,0.7137,0.7614,0.792,0.9
0.4464,0.4365,0.5103,0.5976,0.6993,0.7263,0.7461,0.7389,0.8703,0.8442
0.4464,0.4365,0.5103,0.5976,0.6993,0.7263,0.7461,0.7389,0.8703,0.8442
0.3843,0.3897,0.4536,0.5103,0.558,0.6462,0.6984,0.6957,0.72,0.756
0.3843,0.3897,0.4536,0.5103,0.558,0.6462,0.6984,0.6957,0.72,0.756
0.3402,0.3474,0.3789,0.4203,0.4563,0.4374,0.4932,0.4896,0.4905,0.54
0.3402,0.3474,0.3789,0.4203,0.4563,0.4374,0.4932,0.4896,0.4905,0.54
0.3393,0.3096,0.3312,0.3645,0.3933,0.45,0.4068,0.5121,0.5004,0.4905
0.3393,0.3096,0.3312,0.3645,0.3933,0.45,0.4068,0.5121,0.5004,0.4905
0.2943,0.3078,0.3204,0.3393,0.3753,0.3879,0.3672,0.3159,0.5004,0.54
0.2943,0.3078,0.3204,0.3393,0.3753,0.3879,0.3672,0.3159,0.5004,0.54
0.297,0.3132,0.3177,0.333,0.3762,0.3762,0.4428,0.4032,0.4977,0.36
0.297,0.3132,0.3177,0.333,0.3762,0.3762,0.4428,0.4032,0.4977,0.36
0.2772,0.2808,0.3015,0.3555,0.3915,0.4167,0.4554,0.4446,0.5112,0.5958
0.2772,0.2808,0.3015,0.3555,0.3915,0.4167,0.4554,0.4446,0.5112,0.5958
0.2655,0.2673,0.3186,0.3555,0.3735,0.3825,0.4023,0.4419,0.3897,0.378
0.2655,0.2673,0.3186,0.3555,0.3735,0.3825,0.4023,0.4419,0.3897,0.378
0.2484,0.2808,0.3006,0.3339,0.3519,0.3978,0.3852,0.4284,0.4419,0.4284
0.2484,0.2808,0.3006,0.3339,0.3519,0.3978,0.3852,0.4284,0.4419,0.4284
0.23265,0.3051,0.2853,0.3132,0.342,0.3411,0.3753,0.3771,0.3996,0.4014
0.23265,0.3051,0.2853,0.3132,0.342,0.3411,0.3753,0.3771,0.3996,0.4014
0.2169,0.28458,0.28503,0.31986,0.33462,0.35613,0.35064,0.39852,0.39852,0.40734
0.2169,0.28458,0.28503,0.31986,0.33462,0.35613,0.35064,0.39852,0.39852,0.40734
0.20115,0.28296,0.27846,0.31374,0.32382,0.34722,0.33012,0.39168,0.39168,0.39888
0.20115,0.28296,0.27846,0.31374,0.32382,0.34722,0.33012,0.39168,0.39168,0.39888
0.1854,0.28134,0.27189,0.30762,0.31302,0.33831,0.3096,0.38484,0.38484,0.39042
0.1854,0.28134,0.27189,0.30762,0.31302,0.33831,0.3096,0.38484,0.38484,0.39042
0.16965,0.27972,0.26532,0.3015,0.30222,0.3294,0.28908,0.378,0.378,0.38196
0.16965,0.27972,0.26532,0.3015,0.30222,0.3294,0.28908,0.378,0.378,0.38196
0.1539,0.2781,0.25875,0.29538,0.29142,0.32049,0.26856,0.37116,0.37116,0.3735
0.1539,0.2781,0.25875,0.29538,0.29142,0.32049,0.26856,0.37116,0.37116,0.3735
0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.135
0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.135
